NAME,avg_household_size,total_occupied_units,owner_occupied_units,renter_occupied_units,total_units_bedroom_table,units_0br,units_1br,units_2br,units_3br,units_4br,units_5plus_br,total_occ_per_room_base,owner_1.01_to_1.5_per_room,owner_1.51_to_2_per_room,owner_over_2_per_room,renter_1.01_to_1.5_per_room,renter_1.51_to_2_per_room,renter_over_2_per_room,tenure_age_base,owner_65_to_74,owner_75_to_84,owner_85_plus,moved_in_base,owner_moved_2000_2009,owner_moved_1990_1999,owner_moved_1989_earlier,renter_total_cost_burden_base,renter_30_34_9pct,renter_35_39_9pct,renter_40_49_9pct,renter_50plus_pct,owner_total_cost_burden_base,owner_mtg_30_34_9pct,owner_mtg_35_39_9pct,owner_mtg_40_49_9pct,owner_mtg_50plus_pct,owner_mtg_not_computed,owner_nomtg_30_34_9pct,owner_nomtg_35_39_9pct,owner_nomtg_40_49_9pct,owner_nomtg_50plus_pct,owner_nomtg_not_computed,state,county,tract,avg_bedrooms,pct_overcrowded,pct_owner_65plus_long_tenure,pct_hh_25_34_doubled_up,pct_cost_burdened,bedroom_mismatch,bedroom_mismatch_norm,pct_overcrowded_norm,pct_owner_65plus_long_tenure_norm,pct_cost_burdened_norm,demand_score,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus
Census Tract 9.01; El Paso County; Texas,2.96,1752,756,996,1797,31,454,531,616,153,12,1752,12,0,0,407,47,0,1752,201,82,38,1752,232,123,105,996,69,62,57,179,756,13,38,0,19,0,41,45,0,0,0,48,141,48141000901,2.2459654980523096,0.2659817351598174,0.13013698630136986,,0.2985159817351598,0.7140345019476904,0.5579347134396685,1.0,0.34560970132494945,0.3341790783685025,0.5815341376112967,1751,68,12,0.038834951456310676,0.006853226727584237,0.8823529411764706
Census Tract 103.44; El Paso County; Texas,4.36,853,683,170,929,0,14,204,453,209,49,853,63,0,0,0,0,0,853,153,32,44,853,134,119,202,170,0,11,38,22,683,85,0,0,20,0,16,11,42,0,44,48,141,48141010344,3.0807319698600644,0.0738569753810082,0.268464243845252,,0.30284301606922126,1.279268030139936,1.0,0.27767686881443426,0.7129706148021447,0.34184740892193727,0.5470075665753508,1388,0,316,0.0,0.2276657060518732,
Census Tract 102.32; El Paso County; Texas,3.86,1097,840,257,1205,87,98,85,397,487,51,1097,16,0,0,47,57,0,1097,148,65,0,1097,304,339,61,257,0,0,47,105,840,39,0,36,134,0,73,0,40,0,24,48,141,48141010232,3.0390041493775932,0.10938924339106655,0.19416590701914313,,0.44175209692451073,0.8209958506224067,0.6415884545827203,0.4112659966119068,0.5156537202803473,0.5880208077524323,0.527616121908311,2735,0,1624,0.0,0.5937842778793418,
Census Tract 105.01; El Paso County; Texas,3.64,1530,1346,184,1743,31,57,386,863,344,62,1530,185,18,15,33,0,0,1530,151,92,4,1530,347,147,217,184,0,35,0,29,1346,145,59,80,20,47,77,47,0,0,20,48,141,48141010501,2.9282845668387836,0.16405228758169935,0.16143790849673204,,0.3362952836637047,0.7117154331612165,0.5561209855616984,0.6167802743414962,0.42873674059787853,0.40113121068361046,0.5037252672351609,1805,0,175,0.0,0.09695290858725762,
Census Tract 105.04; El Paso County; Texas,3.57,501,483,18,529,46,0,48,346,89,0,501,17,29,27,0,0,0,501,100,31,16,501,97,117,158,18,0,0,0,0,483,0,0,0,0,0,68,13,0,0,0,48,141,48141010504,2.816635160680529,0.14570858283433133,0.2934131736526946,,0.16167664670658682,0.7533648393194707,0.5886947019994008,0.5478142427591168,0.7792284283891233,0.0916736641056171,0.4998087363513003,210,0,210,0.0,1.0,
Census Tract 104.12; El Paso County; Texas,3.47,1366,958,408,1524,177,70,320,441,389,127,1366,103,0,5,0,95,44,1366,175,44,26,1366,313,217,307,408,59,0,15,36,958,19,17,0,0,27,124,26,27,0,11,48,141,48141010412,2.7716535433070866,0.1808199121522694,0.17935578330893118,,0.24322289156626506,0.6983464566929136,0.5456652002646369,0.6798207856025235,0.4763219163286369,0.23618917119390953,0.49120704761432105,1207,0,124,0.0,0.10273405136702568,
Census Tract 103.57; El Paso County; Texas,3.93,1941,1665,276,1989,104,0,187,1307,391,0,1941,235,18,76,78,0,0,1941,29,0,18,1941,642,507,155,276,12,61,0,83,1665,41,89,65,51,140,65,0,0,25,80,48,141,48141010357,2.9457013574660635,0.20968572900566718,0.024214322514167955,,0.28588030214991283,0.9842986425339366,0.7693064541383295,0.7883463459612208,0.06430688929992145,0.3117862429190057,0.48438847767076393,3111,0,131,0.0,0.04210864673738348,
Census Tract 40.08; El Paso County; Texas,2.81,1232,629,603,1322,77,197,293,629,116,10,1232,50,0,25,48,26,53,1232,208,49,0,1232,68,200,146,603,25,0,220,77,629,23,18,0,0,45,0,11,0,0,59,48,141,48141004008,2.4084720121028744,0.16396103896103897,0.2086038961038961,,0.33156028368794327,0.4015279878971256,0.3135255006182618,0.6164372108578117,0.5539972322759208,0.3927398871623655,0.48432054324056745,3133,24,1519,0.007660389403127992,0.4848388126396425,0.8333333333333334
Census Tract 30; El Paso County; Texas,3.46,1244,467,777,1474,16,261,311,696,150,40,1244,38,0,7,102,14,0,1244,77,141,50,1244,104,80,49,777,47,44,92,250,467,0,0,22,0,0,11,12,12,0,0,48,141,48141003000,2.5583446404341927,0.12942122186495178,0.10369774919614148,,0.39389067524115756,0.9016553595658072,0.7046717062944845,0.48657935774119204,0.27539402245532657,0.5032012352946396,0.481556963018746,3041,46,1638,0.015126603091088459,0.538638605721802,0.8695652173913043
Census Tract 18; El Paso County; Texas,2.15,397,25,372,448,125,137,168,18,0,0,397,0,0,0,5,18,24,397,19,0,0,397,0,0,6,372,6,22,41,137,25,0,0,0,0,0,0,0,0,0,0,48,141,48141001800,1.1763392857142858,0.11838790931989925,0.015113350125944584,,0.5188916876574308,0.9736607142857141,0.7609866030238726,0.44509789083361256,0.04013709377709873,0.7247268828210527,0.47694268200439616,603,30,15,0.04975124378109453,0.024875621890547265,1.0
Census Tract 11.09; El Paso County; Texas,2.63,2045,1735,310,2181,23,35,204,749,723,447,2045,12,0,0,8,0,0,2045,442,196,160,2045,482,576,175,310,50,9,26,30,1735,128,41,25,27,118,53,13,43,61,19,48,141,48141001109,3.584135717560752,0.009779951100244499,0.3672371638141809,,0.26519916142557654,0.9541357175607521,0.745716236278441,0.036769258213794766,0.9752855825884804,0.2751353150426244,0.47277924912760283,2052,7,14,0.00341130604288499,0.00682261208576998,0.8571428571428571
Census Tract 28; El Paso County; Texas,2.52,1529,471,1058,1919,123,450,803,496,47,0,1529,16,0,0,126,73,0,1529,13,70,163,1529,57,92,13,1058,69,73,77,403,471,0,0,0,13,0,23,25,0,0,66,48,141,48141002800,1.9447628973423658,0.1406147809025507,0.06867233485938522,,0.46684894053315107,0.5752371026576342,0.4493822142855159,0.5286632964404909,0.1823757089708263,0.6324972037736007,0.4521936599753572,2387,409,39,0.17134478424801006,0.016338500209467952,0.9828850855745721
Census Tract 4.03; El Paso County; Texas,2.78,1438,882,556,1507,49,61,240,841,305,11,1438,14,0,24,7,19,0,1438,251,26,26,1438,194,133,305,556,47,120,17,170,882,281,55,0,10,3,59,4,173,0,5,48,141,48141000403,2.8792302587923024,0.04450625869262865,0.21070931849791377,,0.6545454545454545,0.09923025879230263,0.07710050886191751,0.16732825156541928,0.5595886819124923,0.965131244100885,0.4467985587453536,2523,18,1271,0.007134363852556481,0.5037653586999604,1.0
Census Tract 40.07; El Paso County; Texas,3.13,1027,515,512,1075,0,191,213,460,189,22,1027,0,0,0,103,26,0,1027,211,65,0,1027,13,94,167,512,0,0,56,134,515,9,22,6,19,0,10,0,0,0,0,48,141,48141004007,2.6632558139534885,0.12560856864654332,0.25413826679649465,,0.249269717624148,0.46674418604651136,0.36453064430725757,0.47224509070545895,0.6749245773939694,0.24690530086405388,0.445037125637595,1163,7,0,0.0060189165950128975,0.0,0.8571428571428571
Census Tract 15.02; El Paso County; Texas,2.06,972,684,288,1109,20,66,362,407,201,53,972,0,0,0,0,1,0,972,168,84,0,972,142,295,58,288,12,27,0,104,684,55,139,10,13,0,9,39,0,39,0,48,141,48141001502,2.777276825969342,0.00102880658436214,0.25925925925925924,,0.45987654320987653,0.7172768259693418,0.5604705129389249,0.0038679595188894187,0.6885245901639344,0.6201407851975161,0.4404208342838144,1569,1,34,0.0006373486297004461,0.021669853409815167,1.0
Census Tract 17; El Paso County; Texas,1.78,310,4,306,388,149,154,54,31,0,0,310,0,0,0,7,12,22,310,0,4,0,310,0,0,0,306,26,15,29,69,4,0,0,0,0,0,4,0,0,0,0,48,141,48141001700,0.9149484536082474,0.13225806451612904,0.0,,0.4612903225806452,0.8650515463917526,0.6760441137103345,0.49724491208639066,0.0,0.6226462720293031,0.44004386437530985,3095,20,2536,0.006462035541195477,0.8193861066235865,0.9
Census Tract 38.04; El Paso County; Texas,3.36,1049,542,507,1138,29,83,203,676,111,36,1049,8,30,0,97,9,0,1049,172,74,0,1049,125,62,118,507,0,15,21,139,542,0,40,10,7,13,17,0,46,0,0,48,141,48141003804,2.760105448154657,0.13727359389895138,0.17159199237368922,,0.28474903474903474,0.5998945518453427,0.4686666370901444,0.5161015804956284,0.45570332400881397,0.30978142120867835,0.4399349878710904,1438,14,20,0.009735744089012517,0.013908205841446454,0.9285714285714286
Census Tract 4.04; El Paso County; Texas,2.57,1274,110,1164,1665,33,469,901,247,15,0,1274,18,0,0,68,16,0,1274,5,32,0,1274,8,23,32,1164,127,47,162,402,110,0,8,0,0,26,0,0,0,0,0,48,141,48141000404,1.845045045045045,0.08006279434850863,0.029042386185243328,,0.5977564102564102,0.7249549549549548,0.5664755252408804,0.3010086173789423,0.0771289600329413,0.86449022075747,0.4390024854594616,1823,71,341,0.038946791003839826,0.1870543060888645,0.9859154929577465
Census Tract 104.04; El Paso County; Texas,3.15,1706,1240,466,1860,4,120,354,961,367,54,1706,22,0,0,56,111,0,1706,394,156,22,1706,133,314,366,466,0,45,22,63,1240,35,5,8,0,44,157,49,7,0,14,48,141,48141010404,2.9295698924731184,0.11078546307151231,0.33528722157092616,,0.23725728155339806,0.22043010752688152,0.1718900837713832,0.41651530322165137,0.8904349163031153,0.22561697185371946,0.43834557975998073,4057,0,2043,0.0,0.5035740695094898,
Census Tract 1.08; El Paso County; Texas,2.65,1523,569,954,1601,134,179,469,665,147,7,1523,11,0,0,133,38,23,1523,52,84,9,1523,112,83,115,954,50,14,275,144,569,93,22,42,31,29,49,12,0,11,9,48,141,48141000108,2.3329169269206744,0.1346027577150361,0.09520682862770848,,0.5003367003367003,0.3170830730793255,0.24748170879493422,0.506060153469406,0.25284436455227494,0.691843904502598,0.4374864550635269,1759,20,61,0.01137009664582149,0.03467879476975554,0.95
Census Tract 102.22; El Paso County; Texas,2.99,650,560,90,711,67,18,147,355,92,32,650,33,5,0,0,4,0,650,164,61,8,650,181,78,196,90,0,0,0,20,560,53,0,0,4,7,29,22,45,0,30,48,141,48141010222,2.679324894514768,0.06461538461538462,0.35846153846153844,,0.2822185970636215,0.31067510548523236,0.24247008105265946,0.24293166061406402,0.9519798234552332,0.30529700275517285,0.4356927209473526,747,0,68,0.0,0.09103078982597054,
Census Tract 23; El Paso County; Texas,2.75,1406,835,571,1879,81,205,707,674,155,57,1406,26,0,0,108,14,0,1406,88,91,95,1406,121,151,281,571,0,48,108,127,835,80,15,37,0,32,57,52,36,10,5,48,141,48141002300,2.419372006386376,0.10526315789473684,0.19487908961593173,,0.4163623082542001,0.33062799361362405,0.25807509874577783,0.39575333182742256,0.5175477461931302,0.5430252571802584,0.43548427014072943,1869,34,20,0.01819154628143392,0.010700909577314071,0.9117647058823529
Census Tract 40.05; El Paso County; Texas,3.18,1807,1184,623,1945,120,24,312,1261,202,26,1807,25,0,0,187,0,0,1807,196,170,0,1807,48,392,123,623,134,0,0,148,1184,93,32,0,47,38,95,10,9,25,36,48,141,48141004005,2.7604113110539847,0.11732152739346983,0.20254565578306585,,0.3421811886901327,0.4195886889460154,0.32765065170438495,0.4410886609299552,0.5379081350304372,0.41156215757799486,0.4352243017719715,2040,7,54,0.003431372549019608,0.026470588235294117,0.5714285714285714
Census Tract 37.01; El Paso County; Texas,2.77,1557,960,597,1590,68,160,437,748,112,65,1557,37,8,0,92,50,0,1557,206,121,163,1557,172,213,40,597,27,0,11,313,960,61,19,0,51,28,97,53,44,6,51,48,141,48141003701,2.5477987421383648,0.12010276172125883,0.16249197174052665,,0.4614343707713126,0.22220125786163525,0.17327528836598402,0.45154514707220056,0.4315360560977921,0.6229015529113998,0.43372800404715495,1435,12,36,0.008362369337979094,0.025087108013937282,1.0
Census Tract 15.01; El Paso County; Texas,2.01,2139,1560,579,2339,367,201,411,821,502,37,2139,0,0,54,36,0,0,2139,320,117,62,2139,470,277,287,579,104,45,64,153,1560,235,163,0,6,53,0,139,81,17,0,48,141,48141001501,2.4279606669516887,0.04207573632538569,0.23328658251519402,,0.4827420901246405,0.4179606669516889,0.32637738680845735,0.15819032197870328,0.6195479732370727,0.6606628976862565,0.4327852916861347,2394,11,15,0.004594820384294068,0.006265664160401002,0.9090909090909091
Census Tract 35.02; El Paso County; Texas,2.64,1468,583,885,1625,0,257,648,550,145,25,1468,0,0,0,130,33,0,1468,134,86,28,1468,55,83,141,885,94,21,150,284,583,0,0,5,17,56,35,79,0,9,0,48,141,48141003502,2.404923076923077,0.11103542234332425,0.15258855585831063,,0.4915014164305949,0.23507692307692318,0.18334525829727097,0.41745506426073836,0.40523518113190693,0.6761860954133263,0.432260890073984,1731,3,53,0.0017331022530329288,0.030618139803581745,1.0
Census Tract 24; El Paso County; Texas,2.56,1218,787,431,1447,90,341,528,348,138,2,1218,0,0,0,27,16,53,1218,164,67,30,1218,231,103,146,431,16,22,0,140,787,16,136,22,0,11,21,0,105,3,21,48,141,48141002400,2.0753282653766414,0.07881773399014778,0.2044334975369458,,0.40556492411467115,0.48467173462335866,0.3785516577533191,0.2963276179200406,0.5429217475571347,0.5238902320563404,0.43131161183004485,1337,58,27,0.04338070306656694,0.02019446522064323,0.9482758620689655
Census Tract 43.03; El Paso County; Texas,2.81,1965,1468,497,1978,35,47,207,1015,640,34,1965,0,0,23,0,0,0,1965,351,169,127,1965,218,368,351,497,70,5,19,178,1468,212,100,23,23,42,38,58,24,92,0,48,141,48141004303,3.1526794742163804,0.011704834605597965,0.3292620865139949,,0.437857514300572,0.34267947421638034,0.2675004795139225,0.04400615928971595,0.8744337379551996,0.5811188641526472,0.430590094216661,2111,21,3,0.00994789199431549,0.0014211274277593558,0.8571428571428571
Census Tract 34.02; El Paso County; Texas,2.67,2226,850,1376,2591,196,480,1004,704,155,52,2226,0,38,0,117,61,0,2226,300,182,66,2226,17,289,75,1376,52,192,105,439,850,27,21,0,0,0,16,14,0,0,11,48,141,48141003402,2.1150135082979546,0.09703504043126684,0.16352201257861634,,0.3909706546275395,0.5549864917020453,0.43354434960021465,0.3648184352694839,0.43427157438911224,0.498026401549549,0.42922889448555346,3637,45,1226,0.012372834753918064,0.33709100907341216,0.9111111111111111
Census Tract 13.02; El Paso County; Texas,2.76,2318,2115,203,2604,37,0,206,961,906,494,2318,63,55,0,0,0,0,2318,344,268,137,2318,517,338,291,203,0,0,0,18,2115,80,97,112,32,210,54,15,66,0,159,48,141,48141001302,3.605606758832565,0.05090595340811044,0.2713546160483175,,0.2432016418676244,0.8456067588325653,0.6608364780062944,0.19138890637555683,0.7206466852430727,0.23615151267290943,0.4287835169929215,2664,53,25,0.019894894894894894,0.009384384384384385,0.6792452830188679
Census Tract 104.13; El Paso County; Texas,3.55,573,236,337,600,90,0,130,306,66,8,573,11,0,0,0,22,49,573,85,0,0,573,101,19,96,337,0,0,0,37,236,0,0,0,7,0,19,0,0,0,0,48,141,48141010413,2.47,0.1431064572425829,0.14834205933682373,,0.1099476439790576,1.0799999999999996,0.8441538329690822,0.5380311439678224,0.3939576002059909,0.0,0.42872950983566094,489,0,102,0.0,0.2085889570552147,
Census Tract 13.01; El Paso County; Texas,2.55,1217,961,256,1385,22,142,124,508,322,267,1217,6,0,22,0,0,0,1217,288,117,67,1217,247,246,132,256,0,13,0,122,961,73,33,33,9,34,17,11,11,19,11,48,141,48141001301,3.275812274368231,0.023007395234182416,0.3105998356614626,,0.2909556313993174,0.7258122743682311,0.5671460289056504,0.08649990654568153,0.8248716947074908,0.3207806948570423,0.42579227513596785,1562,4,38,0.002560819462227913,0.024327784891165175,1.0
Census Tract 8; El Paso County; Texas,2.35,2080,649,1431,2374,56,555,1106,580,39,38,2080,18,0,0,127,0,0,2080,195,55,41,2080,144,137,145,1431,42,151,476,367,649,21,30,0,0,44,32,15,0,32,13,48,141,48141000800,2.044229149115417,0.06971153846153846,0.13557692307692307,,0.5763717251606525,0.3057708508845831,0.23863449698471745,0.26209144932320894,0.36005674653215636,0.8265924779999124,0.4230166403269234,3100,97,598,0.03129032258064516,0.1929032258064516,0.9587628865979382
Census Tract 35.01; El Paso County; Texas,2.94,1211,511,700,1309,34,201,557,397,120,0,1211,0,24,0,138,10,0,1211,75,87,19,1211,115,67,69,700,65,34,51,117,511,0,0,0,0,24,69,10,0,8,0,48,141,48141003501,2.2811306340718107,0.14203137902559868,0.11230388109000826,,0.2982308340353833,0.6588693659281892,0.5147904368773869,0.5339892189975297,0.2982496514193662,0.3336737422307175,0.4211357014872572,1196,8,26,0.006688963210702341,0.021739130434782608,1.0
Census Tract 36.02; El Paso County; Texas,2.58,1094,290,804,1222,50,153,591,406,15,7,1094,7,0,6,137,0,0,1094,77,24,42,1094,62,33,21,804,53,38,47,322,290,6,5,37,0,25,5,5,0,0,9,48,141,48141003602,2.1669394435351883,0.13711151736745886,0.04936014625228519,,0.48867924528301887,0.41306055646481177,0.32254504382362675,0.5154922283858109,0.13108760152246232,0.6711846695943482,0.4197247450596712,1165,77,53,0.06609442060085836,0.045493562231759654,0.961038961038961
Census Tract 103.07; El Paso County; Texas,3.01,1845,1051,794,2141,64,132,321,1321,288,15,1845,167,0,14,0,10,40,1845,257,127,17,1845,101,298,161,794,173,16,90,73,1051,32,26,53,0,75,42,55,0,0,13,48,141,48141010307,2.785614198972443,0.12520325203252033,0.21734417344173443,,0.3187250996015936,0.224385801027557,0.17498380467381025,0.4707212394012352,0.5772091163534586,0.36999349166613865,0.413013784760032,2309,21,6,0.009094846253789519,0.00259852750108272,0.7619047619047619
Census Tract 105.05; El Paso County; Texas,2.62,810,633,177,980,61,85,320,382,132,0,810,21,0,0,0,20,0,810,169,80,70,810,55,103,202,177,0,0,20,54,633,0,0,46,0,0,104,0,0,0,20,48,141,48141010505,2.4479591836734693,0.050617283950617285,0.3765432098765432,,0.28354430379746837,0.1720408163265308,0.13404514921955518,0.19030360832935939,1.0,0.3076464080677279,0.41081171435965086,6,0,6,0.0,1.0,
Census Tract 104.06; El Paso County; Texas,3.31,850,748,102,995,71,20,115,490,254,45,850,46,0,5,0,0,0,850,82,67,100,850,96,236,218,102,0,17,0,60,748,0,0,28,0,0,0,165,0,0,0,48,141,48141010406,2.9758793969849244,0.06,0.29294117647058826,,0.3176470588235294,0.3341206030150756,0.26080664473321064,0.22557939914163086,0.7779749276759885,0.3680829976884957,0.4063496300302525,2844,0,2350,0.0,0.8263009845288326,
Census Tract 25; El Paso County; Texas,2.47,2045,1357,688,2340,99,206,894,938,203,0,2045,25,12,0,0,68,16,2045,228,258,46,2045,289,95,456,688,127,101,62,216,1357,123,41,0,12,89,77,100,23,14,12,48,141,48141002500,2.4017094017094016,0.05916870415647922,0.2601466992665037,,0.4609053497942387,0.06829059829059858,0.052902811443810226,0.22245401219345834,0.6908813980520262,0.6219640267887226,0.40552812215698675,2348,43,40,0.018313458262350937,0.017035775127768313,0.8604651162790697
Census Tract 39.02; El Paso County; Texas,2.75,955,645,310,1049,7,46,218,613,139,26,955,19,0,0,85,0,0,955,91,70,137,955,76,93,98,310,3,24,12,131,645,0,10,4,0,53,35,114,4,28,0,48,141,48141003902,2.8665395614871305,0.10890052356020942,0.2,,0.40465631929046564,0.11653956148713052,0.09063799642112345,0.4094285778486843,0.5311475409836066,0.5222800109218311,0.4043130606151894,948,59,30,0.06223628691983123,0.03164556962025317,0.864406779661017
Census Tract 103.11; El Paso County; Texas,2.93,2147,1594,553,2197,135,0,274,1527,261,0,2147,151,0,41,0,0,0,2147,506,72,0,2147,300,507,268,553,57,0,119,120,1594,87,127,0,0,100,68,50,54,0,87,48,141,48141010311,2.8097405553026853,0.08942710759198882,0.26921285514671633,,0.3479591836734694,0.12025944469731487,0.09354729170397831,0.33621521995958026,0.7149587300617712,0.42180186728390917,0.4037641736650899,2132,9,13,0.004221388367729831,0.006097560975609756,0.7777777777777778
Census Tract 43.18; El Paso County; Texas,2.44,1328,1219,109,1399,0,11,24,824,458,82,1328,29,0,0,0,0,0,1328,155,239,72,1328,256,196,161,109,12,14,0,9,1219,32,118,13,44,6,6,21,0,9,29,48,141,48141004318,3.411722659042173,0.021837349397590362,0.2688253012048193,,0.21500386697602475,0.971722659042173,0.75947086323868,0.08210093593257148,0.7139294884455857,0.18617967467800015,0.4015517442084039,1408,32,6,0.022727272727272728,0.004261363636363636,1.0
Census Tract 43.12; El Paso County; Texas,2.66,2203,1133,1070,2274,164,101,493,923,580,13,2203,0,15,27,177,0,52,2203,278,151,34,2203,192,409,232,1070,238,39,74,98,1133,102,0,113,23,15,28,16,12,41,0,48,141,48141004312,2.7445030782761655,0.1230140717203813,0.21016795279164777,,0.3583180987202925,0.08450307827616532,0.06558248144426991,0.462490673077485,0.5581509565942121,0.4401598415039632,0.4014413977366433,2265,23,93,0.010154525386313467,0.04105960264900662,0.6956521739130435
Census Tract 11.14; El Paso County; Texas,2.39,1879,550,1329,2344,140,767,422,764,238,13,1879,0,0,0,195,0,0,1879,130,80,12,1879,206,18,182,1329,68,128,148,452,550,22,18,0,14,3,15,26,0,0,0,48,141,48141001114,2.098976109215017,0.10377860564129857,0.10643959552953698,,0.47494669509594883,0.29102389078498314,0.22710100008977357,0.3901719250720066,0.2826756471440162,0.6468479701262756,0.39485268185712963,2650,39,116,0.01471698113207547,0.04377358490566038,1.0
Census Tract 2.08; El Paso County; Texas,3.3,1592,1082,510,1592,21,20,204,1075,260,12,1592,56,8,0,103,83,0,1592,100,40,9,1592,293,254,139,510,0,33,48,121,1082,108,31,51,69,35,12,43,19,0,10,48,141,48141000208,2.9855527638190953,0.157035175879397,0.0935929648241206,,0.345830639948287,0.31444723618090453,0.24542023873749905,0.5903983436495783,0.24855836559848424,0.41802968162001186,0.39285056264699736,1797,80,56,0.044518642181413465,0.031163049526989426,0.975
Census Tract 11.15; El Paso County; Texas,2.33,1856,278,1578,2106,330,314,1011,393,58,0,1856,0,0,2,138,102,0,1856,15,0,5,1856,20,70,32,1578,262,115,47,327,278,14,0,0,2,45,51,4,0,0,0,48,141,48141001115,1.7792022792022792,0.13038793103448276,0.010775862068965518,,0.45389287686361124,0.5507977207977208,0.43026834045037177,0.49021385230131714,0.028617863199547768,0.6095365865889146,0.39265643622758506,2557,24,86,0.009385999217833398,0.03363316386390301,0.875
Census Tract 34.03; El Paso County; Texas,2.64,2076,1067,1009,2337,202,283,707,991,136,18,2076,190,0,0,4,30,60,2076,163,225,32,2076,280,81,170,1009,0,105,86,117,1067,0,35,202,0,15,36,82,13,0,33,48,141,48141003403,2.269576379974326,0.13680154142581888,0.12090558766859345,,0.3333333333333333,0.3704236200256741,0.28919898668985494,0.5143268252747525,0.3210935279067564,0.3958820694791255,0.3913817442668672,2434,26,12,0.010682004930156122,0.0049301561216105174,0.9615384615384616
Census Tract 33; El Paso County; Texas,2.5,2006,1075,931,2268,139,241,815,943,130,0,2006,0,0,33,56,0,0,2006,189,259,98,2006,181,310,203,931,95,132,130,226,1075,26,114,57,0,0,38,9,19,0,0,48,141,48141003300,2.3015873015873014,0.04436689930209372,0.25573280159521433,,0.4217347956131605,0.1984126984126986,0.1546704182987665,0.16680430810572572,0.6791592435807331,0.5525463299941153,0.3889017694851831,2306,86,14,0.0372940156114484,0.006071118820468344,0.9767441860465116
Census Tract 10.01; El Paso County; Texas,2.57,1103,803,300,1253,98,151,499,394,109,2,1103,0,0,11,0,0,0,1103,165,107,47,1103,184,229,115,300,4,8,72,106,803,86,8,0,22,29,34,57,24,8,0,48,141,48141001001,2.2162809257781326,0.009972801450589302,0.28921124206708976,,0.3994413407821229,0.3537190742218672,0.27613447536966224,0.037494309316378656,0.7680692002437466,0.5130380738481554,0.3867520063918215,1279,44,9,0.03440187646598905,0.007036747458952306,0.9545454545454546
Census Tract 1.09; El Paso County; Texas,2.87,1070,817,253,1214,29,6,59,776,325,19,1070,36,0,10,0,0,0,1070,244,76,27,1070,121,247,153,253,26,11,0,41,817,26,88,17,41,12,26,8,14,0,0,48,141,48141000109,3.168863261943987,0.04299065420560748,0.32429906542056075,,0.28166351606805295,0.2988632619439868,0.2332321187955965,0.1616300990734427,0.861253255707063,0.30431329330677703,0.3865270907346121,1260,14,0,0.011111111111111112,0.0,0.9285714285714286
Census Tract 11.16; El Paso County; Texas,2.46,1012,136,876,1257,60,438,308,347,104,0,1012,0,0,0,66,12,0,1012,85,7,0,1012,0,35,72,876,137,103,49,122,136,0,61,0,0,7,17,0,0,0,0,48,141,48141001116,1.9976133651551313,0.07707509881422925,0.09090909090909091,,0.48656716417910445,0.46238663484486864,0.3611226332382463,0.28977590798826103,0.2414307004470939,0.6674416588368447,0.38637538886511225,1293,10,48,0.007733952049497293,0.037122969837587005,1.0
Census Tract 1.06; El Paso County; Texas,2.92,2094,1758,336,2148,0,0,92,1414,630,12,2094,56,0,0,50,0,0,2094,542,131,31,2094,392,424,226,336,63,39,0,56,1758,159,42,93,13,0,45,17,24,0,32,48,141,48141000106,3.2616387337057726,0.050620821394460364,0.3104106972301815,,0.2672162948593598,0.3416387337057727,0.26668652346016863,0.19031690790363637,0.8243693926440886,0.2787100604101095,0.38620224032667416,2389,23,2,0.009627459187944746,0.0008371703641691084,0.9130434782608695
Census Tract 26; El Paso County; Texas,2.78,953,494,459,1152,27,261,426,256,45,137,953,17,0,8,3,29,0,953,160,42,0,953,50,81,205,459,8,0,89,81,494,0,0,17,8,0,103,32,5,4,0,48,141,48141002600,2.3836805555555554,0.05981112277019937,0.21196222455403987,,0.3641133263378804,0.39631944444444445,0.3094519343149049,0.22486928560813152,0.5629160717664665,0.45043009072621654,0.3826877131685912,2066,87,896,0.04211035818005808,0.43368828654404645,0.9885057471264368
Census Tract 103.59; El Paso County; Texas,3.42,803,721,82,845,17,6,34,548,208,32,803,16,0,17,0,0,0,803,250,36,0,803,159,129,262,82,0,0,5,0,721,18,23,11,11,6,6,102,13,10,19,48,141,48141010359,3.2071005917159763,0.0410958904109589,0.3561643835616438,,0.25578406169665807,0.21289940828402365,0.16600037526551875,0.15450643776824033,0.9458791825735459,0.25844996167101525,0.3806342924447161,1032,0,134,0.0,0.1298449612403101,
Census Tract 36.01; El Paso County; Texas,2.67,1257,914,343,1368,79,90,355,558,278,8,1257,0,0,16,8,31,0,1257,254,105,88,1257,157,269,164,343,70,29,7,84,914,37,60,41,8,0,8,47,18,8,8,48,141,48141003601,2.6505847953216373,0.04375497215592681,0.3444709626093874,,0.33386709367493994,0.019415204678362663,0.014677699511678952,0.16450367213987932,0.9148245236511601,0.39682799466015173,0.38019977112212755,1479,53,27,0.03583502366463827,0.018255578093306288,0.8867924528301887
